Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Gregory Soto","- - -",-1.0995455831289291,-6.628191947937012,5.528646469116211,-8.75700044631958,-0.8952482640743256,1.2539217095626027,1.0652577411837694,1.3516657437597002,1.2459789493627715,57,-0.714164674282074,-0.1627206804762198,18,18,"Gregory Soto",19677,642397
"Ryan Walker","SFG",-1.602571964263916,-8.5465087890625,6.943936824798584,-7.578000545501709,-0.7786170244216919,1.7551374435424805,1.4067564010620117,1.5961205959320068,1.988224983215332,32,0.34470584988594055,-1.2577807604350346,26,16,"Ryan Walker",20423,676254
"Edwin Uceta","TBR",0.8505566120147705,-8.058672904968262,8.909229278564453,5.561999320983887,0.5476210713386536,1.5220818519592285,1.2655891180038452,1.416811466217041,1.437850832939148,59,0.44525137543678284,0.11355997292791342,29,16,"Edwin Uceta",20539,670955
"Jose A. Ferrer","WSN",0.7824221253395081,-9.038363456726074,9.820786476135254,0.5009995698928833,0.08369345963001251,1.632148027420044,1.3341645002365112,1.4262555837631226,1.4345407485961914,54,0.06922852247953415,0.4101533180121596,28,16,"Jose A. Ferrer",24017,678606
"Hoby Milner","TEX",-0.017963794991374016,-6.467130184173584,6.449166297912598,1.4089995622634888,0.20175623893737793,1.2971892356872559,1.1538976430892944,1.4463095664978027,1.3236825466156006,63,0.2505382299423218,-0.2643864754389449,27,15,"Hoby Milner",13346,571948
"Tim Hill","NYY",0.8772783279418945,-4.456110000610352,5.333388328552246,10.135001182556152,1.0398049354553223,1.103724718093872,1.0919926166534424,1.3884485960006714,1.0580346584320068,52,0.18731138110160828,0.6075229771040778,20,15,"Tim Hill",16814,657612
"Tyler Alexander","- - -",-2.7601276636123657,-7.870748519897461,5.110620975494385,-6.98099946975708,-0.6737766116857529,1.0352842626946697,0.8711351264606823,1.0641148572272443,1.0555485827582223,35,0.13490256667137146,-2.80096034719652,11,15,"Tyler Alexander",17735,641302
"Dylan Lee","ATL",1.3249485492706299,-5.4862060546875,6.811154365539551,12.538000106811523,1.315495491027832,1.2996424436569214,1.2485202550888062,1.4017810821533203,1.2174999713897705,68,1.2459557056427002,-0.22648411502389698,28,15,"Dylan Lee",19996,669276
"John Schreiber","KCR",0.5168240666389465,-6.034976959228516,6.5518012046813965,1.8640004396438599,0.20427504181861877,1.289386510848999,1.202171802520752,1.4464107751846313,1.270921230316162,66,0.4999416470527649,-0.09911221205375692,29,15,"John Schreiber",20020,670167
"Jake Bird","- - -",-0.9902541637420654,-5.856480419635773,4.8662261962890625,-7.2240002155303955,-0.9081762135028839,1.2079112069487112,0.9693712825360505,1.2626666575670242,1.2212619497662498,42,0.21657955646514893,-1.0363866400036266,17,15,"Jake Bird",21267,656234
"Brendon Little","TOR",0.8855385184288025,-7.158418655395508,8.043956756591797,9.866999626159668,1.0341860055923462,1.5248541831970215,1.1529722213745117,1.3413746356964111,1.3839679956436157,75,0.6108636260032654,-0.03012710169365873,23,15,"Brendon Little",21574,663893
"Carlos Vargas","SEA",-0.45288580656051636,-7.806082725524902,7.35319709777832,-2.7790005207061768,-0.3275980055332184,1.2844945192337036,1.0950007438659668,1.2853599786758423,1.3179333209991455,60,-0.17333106696605682,-0.17924794351558881,22,15,"Carlos Vargas",22915,672841
"Brandon Eisert","CHW",-1.6383119821548462,-6.707256317138672,5.068944454193115,-2.491000175476074,-0.2555748224258423,1.068713903427124,0.9046766757965088,1.0719826221466064,1.0496400594711304,55,-1.0321239233016968,-0.5008513443552036,11,15,"Brandon Eisert",27668,685126
"Orion Kerkering","PHI",-0.6295797824859619,-8.153127670288086,7.523547649383545,-0.05499956011772156,-0.037473469972610474,1.6051846742630005,1.2474628686904907,1.568660855293274,1.3945754766464233,57,-0.17308980226516724,-0.2191266153099789,25,15,"Orion Kerkering",31776,689147
"Huascar Brazobán","NYM",0.4276082515716553,-5.446259498596191,5.873867511749268,8.465999603271484,0.8845997452735901,1.3423223495483398,1.1366868019104004,1.5927917957305908,1.1439673900604248,43,0.4000511169433594,-0.08149257419426825,17,14,"Huascar Brazoban",6107,623211
"Tanner Scott","LAD",-1.9486385583877563,-9.869467735290527,7.920828819274902,-3.8570003509521484,-0.4215492606163025,1.9274033308029175,1.7095671892166138,1.8371212482452393,1.5701571702957153,28,-0.42707064747810364,-0.5839468843718556,22,14,"Tanner Scott",17586,656945
